"estacion","dia_wd","hora","viajes_retiro_prom","edad_p","prop_f","duracion_p","dist_prom","viajes_arribo_prom","region","region_0","region_1","region_10","region_11","region_12","region_2","region_3","region_4","region_5","region_6","region_7","region_8","region_9","dia_2","dia_3","dia_4","dia_5","dia_6","hora_6","hora_7","hora_8","hora_9","hora_10","hora_11","flujo_abs","maxcapacity","flujo_rel"
158,5,10,4.96078431372549,33.0370356223297,0.260613841496194,8.96423690688396,1.23817938488527,5.20754716981132,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0786163522012579,36,0.00218378756114605
158,5,11,5.09433962264151,35.6374458874459,0.279074437093305,9.81927904380735,1.12543268942797,5.52830188679245,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0786163522012579,36,0.00218378756114605
158,6,6,4.1875,30.7767361111111,0.150868055555556,12.1739583333333,2.02968402777778,4.6875,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.00641025641025641,36,-0.000178062678062678
158,6,7,8.19607843137255,36.6144305041364,0.349393961158667,10.7985737029855,1.54489813345696,5.72549019607843,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.522435897435897,36,-0.0145121082621083
158,6,8,20.7058823529412,34.3170609529385,0.197668706425721,11.5722770622674,1.77591522819301,10.5,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1.58012820512821,36,-0.0438924501424501
158,6,9,10.6666666666667,33.5598269839255,0.260534810518875,8.95647222279666,1.42068045379872,6.27450980392157,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.669871794871795,36,-0.0186075498575499
158,6,10,5.61538461538461,33.6685654623155,0.257636113886114,9.56163836163836,1.25356093212343,4.36538461538461,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.217948717948718,36,-0.00605413105413105
158,6,11,4.45833333333333,33.8562417328042,0.259019510582011,8.7391369047619,1.15171891534392,4.7843137254902,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0897435897435897,36,0.00249287749287749
159,2,6,1.1875,31,0.208333333333333,8.9375,1.46416666666667,1.925,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.163461538461538,36,0.00454059829059829
159,2,7,2.32432432432432,33.9427927927928,0.326576576576577,15.9927927927928,1.97174774774775,3.49019607843137,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.246794871794872,36,0.0068554131054131
159,2,8,9.94,34.8996386815799,0.24428358896006,13.0226097072862,1.88071211402976,2.95744680851064,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.15384615384615,36,-0.032051282051282
