id,bikes,slots,maxcapacity,bike_prop,slots_prop,categoria,canasta_categoria,1,2,3,4
191,0,21,21,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
192,29,7,36,0.805555555556,0.194444444444,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
193,12,24,36,0.333333333333,0.666666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
194,11,12,23,0.478260869565,0.521739130435,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
195,11,13,24,0.458333333333,0.541666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
196,7,19,26,0.269230769231,0.730769230769,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
197,15,20,35,0.428571428571,0.571428571429,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
198,0,27,27,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
199,12,11,23,0.521739130435,0.478260869565,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
200,18,7,25,0.72,0.28,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
201,10,8,18,0.555555555556,0.444444444444,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
202,14,6,20,0.7,0.3,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
203,21,3,24,0.875,0.125,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
204,4,23,27,0.148148148148,0.851851851852,1,"[0, 0.25)",1.0,0.0,0.0,0.0
205,12,9,21,0.571428571429,0.428571428571,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
206,4,20,24,0.166666666667,0.833333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
207,21,3,24,0.875,0.125,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
208,21,5,26,0.807692307692,0.192307692308,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
209,10,14,24,0.416666666667,0.583333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
210,19,8,27,0.703703703704,0.296296296296,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
211,33,3,36,0.916666666667,0.0833333333333,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
212,34,1,35,0.971428571429,0.0285714285714,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
213,0,27,27,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
214,6,18,24,0.25,0.75,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
215,10,14,24,0.416666666667,0.583333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
216,18,6,24,0.75,0.25,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
217,13,23,36,0.361111111111,0.638888888889,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
218,18,6,24,0.75,0.25,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
219,0,36,36,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
220,1,23,24,0.0416666666667,0.958333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
221,6,17,23,0.260869565217,0.739130434783,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
222,2,28,30,0.0666666666667,0.933333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
223,7,23,30,0.233333333333,0.766666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
224,1,19,20,0.05,0.95,1,"[0, 0.25)",1.0,0.0,0.0,0.0
225,10,13,23,0.434782608696,0.565217391304,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
226,18,8,26,0.692307692308,0.307692307692,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
227,0,24,24,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
228,0,21,21,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
229,0,21,21,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
230,1,17,18,0.0555555555556,0.944444444444,1,"[0, 0.25)",1.0,0.0,0.0,0.0
231,20,5,25,0.8,0.2,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
232,5,25,30,0.166666666667,0.833333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
233,12,3,15,0.8,0.2,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
234,1,25,26,0.0384615384615,0.961538461538,1,"[0, 0.25)",1.0,0.0,0.0,0.0
235,12,15,27,0.444444444444,0.555555555556,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
236,13,17,30,0.433333333333,0.566666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
237,5,25,30,0.166666666667,0.833333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
238,8,22,30,0.266666666667,0.733333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
239,16,5,21,0.761904761905,0.238095238095,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
240,0,36,36,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
241,0,36,36,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
242,8,22,30,0.266666666667,0.733333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
243,17,9,26,0.653846153846,0.346153846154,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
244,14,4,18,0.777777777778,0.222222222222,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
245,22,2,24,0.916666666667,0.0833333333333,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
246,8,6,14,0.571428571429,0.428571428571,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
247,17,12,29,0.586206896552,0.413793103448,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
248,7,19,26,0.269230769231,0.730769230769,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
249,12,6,18,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
250,11,16,27,0.407407407407,0.592592592593,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
251,4,14,18,0.222222222222,0.777777777778,1,"[0, 0.25)",1.0,0.0,0.0,0.0
252,2,16,18,0.111111111111,0.888888888889,1,"[0, 0.25)",1.0,0.0,0.0,0.0
253,14,7,21,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
254,21,9,30,0.7,0.3,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
255,2,31,33,0.0606060606061,0.939393939394,1,"[0, 0.25)",1.0,0.0,0.0,0.0
256,14,13,27,0.518518518519,0.481481481481,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
257,1,20,21,0.047619047619,0.952380952381,1,"[0, 0.25)",1.0,0.0,0.0,0.0
258,16,12,28,0.571428571429,0.428571428571,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
259,13,11,24,0.541666666667,0.458333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
260,7,16,23,0.304347826087,0.695652173913,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
261,19,9,28,0.678571428571,0.321428571429,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
262,7,26,33,0.212121212121,0.787878787879,1,"[0, 0.25)",1.0,0.0,0.0,0.0
263,23,6,29,0.793103448276,0.206896551724,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
264,11,25,36,0.305555555556,0.694444444444,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
265,10,26,36,0.277777777778,0.722222222222,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
266,11,25,36,0.305555555556,0.694444444444,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
267,20,15,35,0.571428571429,0.428571428571,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
268,1,35,36,0.0277777777778,0.972222222222,1,"[0, 0.25)",1.0,0.0,0.0,0.0
269,13,22,35,0.371428571429,0.628571428571,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
270,11,25,36,0.305555555556,0.694444444444,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
271,27,8,35,0.771428571429,0.228571428571,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
272,8,28,36,0.222222222222,0.777777777778,1,"[0, 0.25)",1.0,0.0,0.0,0.0
273,0,35,35,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
274,14,22,36,0.388888888889,0.611111111111,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
